trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.75, 'e': 0.9785490075858827}",30,0,-62.39446329505661,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
85,False,"{'a': 0.75, 'e': 0.9780309147241483}",25,0,-136.40439999772687,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
86,False,"{'a': 0.75, 'e': 0.9775067091723805}",20,0,-9.92864354876959,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.75, 'e': 0.9769763942068623}",25,0,-140.81610135629793,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
88,False,"{'a': 0.75, 'e': 0.9764399731420608}",30,0,-236.50344869478565,"{0: 15, 1: 1, 2: 9, 3: 2, 4: 3}",0
89,False,"{'a': 0.75, 'e': 0.9758974493306055}",25,7,-74.68373380590678,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 0}",1
90,False,"{'a': 0.75, 'e': 0.9753488261632687}",25,0,-73.85664928679522,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
91,False,"{'a': 0.75, 'e': 0.9747941070689433}",20,0,-61.017730225250745,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
92,False,"{'a': 0.75, 'e': 0.9742332955146219}",30,0,-136.08008620710999,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
93,False,"{'a': 0.75, 'e': 0.9736663950053749}",25,0,-107.06090637814665,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
94,False,"{'a': 0.75, 'e': 0.9730934090843285}",25,0,-159.2352145633515,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
95,False,"{'a': 0.75, 'e': 0.972514341332643}",30,11,-104.0863330752464,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
96,False,"{'a': 0.75, 'e': 0.97192919536949}",25,0,-137.46620649834142,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
97,False,"{'a': 0.75, 'e': 0.9713379748520297}",20,0,-66.76018339596652,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",1
98,False,"{'a': 0.75, 'e': 0.9707406834753883}",20,0,-121.81104656358976,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
99,False,"{'a': 0.75, 'e': 0.9701373249726354}",20,0,-91.78037629163347,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
100,False,"{'a': 0.75, 'e': 0.9695279031147593}",20,0,-150.01536643271874,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
101,False,"{'a': 0.75, 'e': 0.9689124217106447}",30,0,-93.0739886750098,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
102,False,"{'a': 0.75, 'e': 0.9682908846070486}",20,0,-80.33889746991194,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.75, 'e': 0.9676632956885756}",25,0,-185.42491782986292,"{0: 12, 1: 4, 2: 4, 3: 3, 4: 2}",0
104,False,"{'a': 0.75, 'e': 0.9670296588776545}",30,0,-103.61764555042188,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
